id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401757275,2025,6,regular,2025-10-03T01:00:00.000Z,False,False,False,True,,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,,,,,,2534,Sam Houston,fbs,Conference USA,,,,,,,,
401774075,2025,6,regular,2025-10-03T22:00:00.000Z,False,False,False,True,,5124.0,Homewood Field,118,Johns Hopkins University,iii,Centennial,,,,,,2175,Dickinson (PA),iii,Centennial,,,,,,,,
401786377,2025,6,regular,2025-10-03T23:00:00.000Z,False,False,False,True,,5939.0,Cressy Field,379,UMass Dartmouth,iii,MSCAC,,,,,,110,Mass Maritime,iii,MSCAC,,,,,,,,
401762475,2025,6,regular,2025-10-03T23:00:00.000Z,False,False,False,True,,3886.0,Raymond James Stadium,58,South Florida,fbs,American Athletic,,,,,,2429,Charlotte,fbs,American Athletic,,,,,,,,
401757276,2025,6,regular,2025-10-03T23:00:00.000Z,False,False,False,True,,3695.0,Delaware Stadium,48,Delaware,fbs,Conference USA,,,,,,98,Western Kentucky,fbs,Conference USA,,,,,,,,
401767681,2025,6,regular,2025-10-03T23:30:00.000Z,False,False,False,True,,3881.0,Princeton University Stadium,163,Princeton,fcs,Ivy,,,,,,171,Columbia,fcs,Ivy,,,,,,,,
401760384,2025,6,regular,2025-10-04T02:00:00.000Z,False,False,False,True,,3935.0,CEFCU Stadium,23,San José State,fbs,Mountain West,,,,,,167,New Mexico,fbs,Mountain West,,,,,,,,
401756909,2025,6,regular,2025-10-04T02:30:00.000Z,False,False,False,True,,3801.0,LaVell Edwards Stadium,252,BYU,fbs,Big 12,,,,,,277,West Virginia,fbs,Big 12,,,,,,,,
401760382,2025,6,regular,2025-10-04T02:30:00.000Z,False,False,False,True,,7311.0,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,,,,,,36,Colorado State,fbs,Mountain West,,,,,,,,
401761621,2025,6,regular,2025-10-04T04:00:00.000Z,True,False,False,True,,3975.0,Veterans Memorial Stadium (AL),2653,Troy,fbs,Sun Belt,,,,,,6,South Alabama,fbs,Sun Belt,,,,,,,,
401761619,2025,6,regular,2025-10-04T04:00:00.000Z,True,False,False,True,,3918.0,S.B. Ballard Stadium,295,Old Dominion,fbs,Sun Belt,,,,,,324,Coastal Carolina,fbs,Sun Belt,,,,,,,,
401761618,2025,6,regular,2025-10-04T04:00:00.000Z,True,False,False,True,,4246.0,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,,,,,,256,James Madison,fbs,Sun Belt,,,,,,,,
