id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401773471,2025,2,regular,2025-09-04T04:00:00.000Z,True,False,False,False,,3860.0,O'Harra Stadium,613,South Dakota Mines,ii,Rocky Mountain,,,,,,2392,Michigan Tech,ii,GLIAC,,,,,,,,
401774218,2025,2,regular,2025-09-04T22:00:00.000Z,False,False,False,False,,6092.0,Bishop Stadium,286,North Carolina Wesleyan,iii,USA South,,,,,,2047,Averett,iii,Old Dominion,,,,,,,,
401773700,2025,2,regular,2025-09-04T22:00:00.000Z,False,False,False,False,,5784.0,Cebe Ross Field,455,West Virginia Wesleyan,ii,Mountain East,,,,,,2134,Clarion,ii,Pennsylvania State Athletic,,,,,,,,
401773494,2025,2,regular,2025-09-04T22:00:00.000Z,False,False,False,False,,3600.0,Tom Adams Field,131,Wayne State (MI),ii,GLIAC,,,,,,2838,Tiffin,ii,Great Midwest Athletic,,,,,,,,
401773648,2025,2,regular,2025-09-04T22:00:00.000Z,False,False,False,False,,4436.0,Adamson Stadium,2858,PennWest California,ii,Pennsylvania State Athletic,,,,,,2128,University Of Charleston (WV),ii,Mountain East,,,,,,,,
401776726,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,True,False,,11591.0,Lokken Stadium,628,Valley City State,,,,,,,,124,Augsburg,iii,Minnesota,,,,,,,,
401777200,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,6146.0,Memorial Field (PA),2849,Westminster (PA),iii,Presidents',,,,,,317,Marietta,iii,Ohio,,,,,,,,
401774062,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,3621.0,Arnold Field (PA),388,Lebanon Valley,iii,Mid Atlantic,,,,,,2234,Franklin & Marshall,iii,Centennial,,,,,,,,
401778004,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,5810.0,Coyer Field,2085,Buffalo State,iii,Liberty League,,,,,,2781,Brockport,iii,Empire 8,,,,,,,,
401774272,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,6125.0,Bulldog Stadium (TX),2639,Texas Lutheran,iii,Southern Collegiate Athletic,,,,,,386,Trinity University TX,iii,Southern Athletic,,,,,,,,
401783311,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,3920.0,Schmidt Stadium,398,Wilkes,iii,Landmark Conference,,,,,,247,Kings College (PA),iii,Mid Atlantic,,,,,,,,
401773342,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,True,,3875.0,Paul Laird Field,199,Southeastern Oklahoma State,ii,Great American,,,,,,2028,Arkansas-Monticello,ii,Great American,,,,,,,,
401773361,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,True,,4763.0,Ranger Field,2823,Northwestern Oklahoma State,ii,Great American,,,,,,2264,Harding University,ii,Great American,,,,,,,,
401773382,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,True,,5891.0,Wilkins Stadium,2568,Southern Arkansas,ii,Great American,,,,,,319,Oklahoma Baptist,ii,Great American,,,,,,,,
401773369,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,True,,5113.0,Ruggles Field at Carpenter-Haygood Stadium,2271,Henderson State,ii,Great American,,,,,,200,Southern Nazarene,ii,Great American,,,,,,,,
401773677,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,4431.0,Chryst Field at Biemesderfer Stadium,210,Millersville,ii,Pennsylvania State Athletic,,,,,,341,Frostburg State,ii,Mountain East,,,,,,,,
401777085,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,5854.0,Hoernemann Stadium,191,Heidelberg,iii,Ohio,,,,,,2274,Hiram College,iii,North Coast,,,,,,,,
401773165,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,4433.0,George P. Miller Stadium,2291,Indiana-Pennsylvania,ii,Pennsylvania State Athletic,,,,,,308,Ashland,ii,Great Midwest Athletic,,,,,,,,
401773668,2025,2,regular,2025-09-04T23:00:00.000Z,False,False,False,False,,5943.0,Duvall-Rosier Field,2986,Fairmont State,ii,Mountain East,,,,,,2071,Bloomsburg,ii,Pennsylvania State Athletic,,,,,,,,
