id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401773701,2025,3,regular,2025-09-11T22:30:00.000Z,False,False,False,False,,5784.0,Cebe Ross Field,455,West Virginia Wesleyan,ii,Mountain East,,,,,,2477,Ohio Dominican,ii,Great Midwest Athletic,,,,,,,,
401754531,2025,3,regular,2025-09-11T23:30:00.000Z,False,False,False,True,,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,,,,,,152,NC State,fbs,ACC,,,,,,,,
401773995,2025,3,regular,2025-09-12T00:00:00.000Z,False,False,False,True,,5881.0,CAU Panther Stadium,2805,Clark Atlanta,ii,SIAC,,,,,,2232,Fort Valley State,ii,SIAC,,,,,,,,
401773362,2025,3,regular,2025-09-12T00:00:00.000Z,False,False,False,True,,5885.0,First Security Stadium,2264,Harding University,ii,Great American,,,,,,2927,Southwestern Oklahoma State,ii,Great American,,,,,,,,
401777559,2025,3,regular,2025-09-12T00:00:00.000Z,False,False,False,False,,4724.0,Audrey J. Walton Stadium at Vernon Kennedy Field,2118,Central Missouri,ii,Mid America,,,,,,2570,CSU Pueblo,ii,Rocky Mountain,,,,,,,,
401773332,2025,3,regular,2025-09-12T00:00:00.000Z,False,False,False,True,,5870.0,Thone Stadium at Buerkle Field,2033,Arkansas Tech,ii,Great American,,,,,,2823,Northwestern Oklahoma State,ii,Great American,,,,,,,,
401752836,2025,3,regular,2025-09-12T04:00:00.000Z,True,False,False,False,,3830.0,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,,,,,,282,Indiana State,fcs,MVFC,,,,,,,,
401752837,2025,3,regular,2025-09-12T04:00:00.000Z,True,False,False,False,,1056.0,Rose Bowl,26,UCLA,fbs,Big Ten,,,,,,167,New Mexico,fbs,Mountain West,,,,,,,,
401754532,2025,3,regular,2025-09-12T23:00:00.000Z,False,False,False,False,,1964.0,JMA Wireless Dome,183,Syracuse,fbs,ACC,,,,,,2142,Colgate,fcs,Patriot,,,,,,,,
401756893,2025,3,regular,2025-09-12T23:30:00.000Z,False,False,False,True,,4728.0,TDECU Stadium,248,Houston,fbs,Big 12,,,,,,38,Colorado,fbs,Big 12,,,,,,,,
401756888,2025,3,regular,2025-09-13T01:00:00.000Z,False,False,False,True,,3619.0,Arizona Stadium,12,Arizona,fbs,Big 12,,,,,,2306,Kansas State,fbs,Big 12,,,,,,,,
401773707,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,True,,5868.0,Ronald J. Abdow Field,2022,American International,ii,Northeast 10,,,,,,2038,Assumption,ii,Northeast 10,,,,,,,,
401767527,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,True,False,,6006.0,Robert and Janet Vackar Stadium,292,UT Rio Grande Valley,fcs,Southland,,,,,,2324,Langston University,,,,,,,,,,
401760370,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,,,,,,2502,Portland State,fcs,Big Sky,,,,,,,,
401760369,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,3660.0,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,,,,,,2582,Southern,fcs,SWAC,,,,,,,,
401767090,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,3791.0,Kibbie Dome,70,Idaho,fcs,Big Sky,,,,,,3101,Utah Tech,fcs,UAC,,,,,,,,
401767106,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,3643.0,Bobcat Stadium,147,Montana State,fcs,Big Sky,,,,,,301,San Diego,fcs,Pioneer,,,,,,,,
401767120,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,1905.0,DakotaDome,233,South Dakota,fcs,MVFC,,,,,,2458,Northern Colorado,fcs,Big Sky,,,,,,,,
401767131,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,3757.0,Hornet Stadium,16,Sacramento State,fcs,Big Sky,,,,,,2385,Mercyhurst,fcs,NEC,,,,,,,,
401767285,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,4133.0,Braly Municipal Stadium,2453,North Alabama,fcs,UAC,,,,,,196,Northeastern State,ii,Independent DII,,,,,,,,
401767318,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,3722.0,Fitton Field,107,Holy Cross,fcs,Patriot,,,,,,227,Rhode Island,fcs,CAA,,,,,,,,
401773058,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,True,,3649.0,Bowman Gray Stadium,2736,Winston-Salem,ii,CIAA,,,,,,2339,Lincoln (PA),ii,CIAA,,,,,,,,
401773100,2025,3,regular,2025-09-13T04:00:00.000Z,True,False,False,False,,5843.0,W.B. Adams Stadium,366,Ferrum,iii,Old Dominion,,,,,,2551,Shaw,ii,CIAA,,,,,,,,
