id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401757278,2025,7,regular,2025-10-08T23:30:00.000Z,False,False,False,True,,3725,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee,fbs,Conference USA,,,,,,2623,Missouri State,fbs,Conference USA,,,,,,,,
401757277,2025,7,regular,2025-10-09T00:00:00.000Z,False,False,False,True,,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,,,,,,2335,Liberty,fbs,Conference USA,,,,,,,,
401762480,2025,7,regular,2025-10-09T04:00:00.000Z,True,False,False,True,,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,,,,,,151,East Carolina,fbs,American Athletic,,,,,,,,
401761622,2025,7,regular,2025-10-09T04:00:00.000Z,True,False,False,True,,3608,Allen E. Paulson Stadium,290,Georgia Southern,fbs,Sun Belt,,,,,,2572,Southern Miss,fbs,Sun Belt,,,,,,,,
401773365,2025,7,regular,2025-10-09T23:00:00.000Z,False,False,False,True,,3875,Paul Laird Field,199,Southeastern Oklahoma State,ii,Great American,,,,,,2264,Harding University,ii,Great American,,,,,,,,
401757280,2025,7,regular,2025-10-09T23:00:00.000Z,False,False,False,True,,4899,Fifth Third Stadium,338,Kennesaw State,fbs,Conference USA,,,,,,2348,Louisiana Tech,fbs,Conference USA,,,,,,,,
401757279,2025,7,regular,2025-10-10T00:00:00.000Z,False,False,False,True,,3647,Elliott T. Bowers Stadium,2534,Sam Houston,fbs,Conference USA,,,,,,55,Jacksonville State,fbs,Conference USA,,,,,,,,
401767691,2025,7,regular,2025-10-10T23:00:00.000Z,False,False,False,True,,3750,Harvard Stadium,108,Harvard,fcs,Ivy,,,,,,172,Cornell,fcs,Ivy,,,,,,,,
401783354,2025,7,regular,2025-10-10T23:00:00.000Z,False,False,False,True,,3851,Mustang Stadium,471,Stevenson,iii,Mid Atlantic,,,,,,247,Kings College (PA),iii,Mid Atlantic,,,,,,,,
401762481,2025,7,regular,2025-10-10T23:30:00.000Z,False,False,False,True,,3825,DATCU Stadium,249,North Texas,fbs,American Athletic,,,,,,58,South Florida,fbs,American Athletic,,,,,,,,
401752862,2025,7,regular,2025-10-11T01:00:00.000Z,False,False,False,True,,3765,Husky Stadium,264,Washington,fbs,Big Ten,,,,,,164,Rutgers,fbs,Big Ten,,,,,,,,
401760388,2025,7,regular,2025-10-11T01:00:00.000Z,False,False,False,True,,5388,Canvas Stadium,36,Colorado State,fbs,Mountain West,,,,,,278,Fresno State,fbs,Mountain West,,,,,,,,
401752731,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,3785,Jordan-Hare Stadium,2,Auburn,fbs,SEC,,,,,,61,Georgia,fbs,SEC,,,,1998.0,,,,NIGHT: 6 - 8pm ET start
401773126,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,7076,J.W. Babb Stadium,101784,ERSKINE,ii,Gulf South,,,,,,2822,North Greenville,ii,Gulf South,,,,,,,,
401773719,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,6074,Grappone Stadium,2830,St. Anselm,ii,Northeast 10,,,,,,112334,Franklin Pierce,ii,Northeast 10,,,,,,,,
401774255,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,5821,Fritz B. Burns Stadium,17,Claremont-Mudd-Scripps College,iii,So. Cal.,,,,,,29,Redlands,iii,So. Cal.,,,,,,,,
401774275,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,True,True,,10465,Mayo Field,101442,CENTENARY,iii,Southern Collegiate Athletic,,,,,,2639,Texas Lutheran,iii,Southern Collegiate Athletic,,,,,,,,
401774453,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,False,,4423,Young-Wise Memorial Stadium,418,Hendrix College,iii,Southern Athletic,,,,,,2045,Austin,iii,Southern Collegiate Athletic,,,,,,,,
401777257,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,3671,Case Field,2963,Case Western Reserve,iii,Presidents',,,,,,2018,Allegheny,iii,Presidents',,,,,,,,
401767776,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,3979,Wagner College Stadium,2681,Wagner,fcs,NEC,,,,,,2385,Mercyhurst,fcs,NEC,,,,,,,,
401767744,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,3777,Joe Walton Stadium,2523,Robert Morris,fcs,NEC,,,,,,2115,Central Connecticut,fcs,NEC,,,,,,,,
401767699,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,3826,Memorial Field,159,Dartmouth,fcs,Ivy,,,,,,43,Yale,fcs,Ivy,,,,,,,,
401767629,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,False,,3730,Franklin Field,219,Pennsylvania,fcs,Ivy,,,,,,2368,Marist,fcs,Pioneer,,,,,,,,
401767560,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,5400,William B. Greene Jr. Stadium,2193,East Tennessee State,fcs,Southern,,,,,,2678,VMI,fcs,Southern,,,,,,,,
401767537,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,5237,Dana J. Dykhouse Stadium,2571,South Dakota State,fcs,MVFC,,,,,,2460,Northern Iowa,fcs,MVFC,,,,,,,,
401767461,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,4762,Memorial Stadium (Commerce TX),2837,East Texas A&M,fcs,Southland,,,,,,2320,Lamar,fcs,Southland,,,,,,,,
401767439,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,True,,3909,Roy Stewart Stadium,93,Murray State,fcs,MVFC,,,,,,2287,Illinois State,fcs,MVFC,,,,,,,,
401767413,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,False,,3650,Bragg Memorial Stadium,50,Florida A&M,fcs,SWAC,,,,,,2428,North Carolina Central,fcs,MEAC,,,,,,,,
401767407,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,False,,3737,Gibbs Stadium,2747,Wofford,fcs,Southern,,,,,,2450,Norfolk State,fcs,MEAC,,,,,,,,
401767400,2025,7,regular,2025-10-11T04:00:00.000Z,True,False,False,False,,3762,Hughes Stadium,2415,Morgan State,fcs,MEAC,,,,,,2355,Virginia University Of Lynchburg,,,,,,,,,,
