id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401767327,2025,1,regular,2025-08-28T04:00:00.000Z,TRUE,FALSE,FALSE,FALSE,,3991,"William Dick"""" Price Stadium""""",2450,Norfolk State,fcs,MEAC,,,,,,119,Towson,fcs,CAA,,,,,,,,
401760357,2025,1,regular,2025-08-28T04:00:00.000Z,TRUE,FALSE,FALSE,FALSE,,7311,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,,,,1318,,2619,Stony Brook,fcs,CAA,,,,,,,,
401773590,2025,1,regular,2025-08-28T19:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,5879,Tomlinson Stadium,2120,Central Washington,ii,Lone Star,,,,,,11,Colorado Mesa,ii,Rocky Mountain,,,,,,,,
401762522,2025,1,regular,2025-08-28T21:30:00.000Z,FALSE,FALSE,FALSE,FALSE,,3886,Raymond James Stadium,58,South Florida,fbs,American Athletic,,,,1456,,68,Boise State,fbs,Mountain West,,,,1676,,,,
401773397,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,TRUE,FALSE,,3939,St. Vincent Health Field,2366,Marian College,,,,,,,,2292,Indianapolis,ii,Great Lakes,,,,,,,,
401773703,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,4437,"Memorial Stadium (Clarion, PA)",2134,Clarion,ii,Pennsylvania State Athletic,,,,,,112335,Wheeling,ii,Mountain East,,,,,,,,
401762790,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,,,,1461,,322,Lafayette,fcs,Patriot,,,,,,,,
401752794,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,6577,SHI Stadium,164,Rutgers,fbs,Big Ten,,,,1522,,195,Ohio,fbs,Mid-American,,,,1621,,,,
401767549,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,844,Stambaugh Stadium,2754,Youngstown State,fcs,MVFC,,,,,,2385,Mercyhurst,fcs,NEC,,,,,,,,
401767446,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3829,Memorial Stadium,282,Indiana State,fcs,MVFC,,,,,,2816,McKendree,ii,Great Lakes,,,,,,,,
401773470,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3927,Sherman Field,2392,Michigan Tech,ii,GLIAC,,,,,,132,Bemidji State,ii,Northern Sun,,,,,,,,
401773488,2025,1,regular,2025-08-28T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3885,Harvey Randall Wickes Memorial Stadium,129,Saginaw Valley State,ii,GLIAC,,,,,,196,Northeastern State,ii,Independent DII,,,,,,,,
401767209,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,5116,O'Shaughnessy Stadium,2900,St. Thomas (MN),fcs,Pioneer,,,,,,2815,Lindenwood,fcs,Big South-OVC,,,,,,,,
401767171,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3858,O'Brien Stadium,2197,Eastern Illinois,fcs,Big South-OVC,,,,,,2168,Dayton,fcs,Pioneer,,,,,,,,
401754373,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,,,,1501,,151,East Carolina,fbs,American Athletic,,,,1435,,,,
401757219,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3695,Delaware Stadium,48,Delaware,fbs,Conference USA,,,,1500,,2169,Delaware State,fcs,MEAC,,,,,,,,
401761588,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,,,,1281,,2598,St. Francis (PA),fcs,NEC,,,,,,,,
401762789,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,,,,1245,,2751,Wyoming,fbs,Mountain West,,,,1367,,,,
401773065,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,7075,Electric Supply Company Field,122666,Wilson,ii,South Atlantic,,,,,,330,Virginia St,ii,CIAA,,,,,,,,
401773093,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,5121,University of Charleston Stadium,2128,University Of Charleston (WV),ii,Mountain East,,,,,,2940,Livingstone,ii,CIAA,,,,,,,,
401773478,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3950,Superior Dome,128,Northern Michigan,ii,GLIAC,,,,,,2817,Minnesota State Moorhead,ii,Northern Sun,,,,,,,,
401773514,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,5935,Parker Field at McCool Stadium,2170,Delta State,ii,Gulf South,,,,,,2118,Central Missouri,ii,Mid America,,,,,,,,
401773633,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,6035,"Memorial Stadium (Wayne, NE)",2844,Wayne State (NE),ii,Northern Sun,,,,,,2438,Nebraska-Kearney,ii,Mid America,,,,,,,,
401773639,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3641,Blakeslee Stadium,2364,Minnesota State Mankato,ii,Northern Sun,,,,,,138,Northwest Missouri St,ii,Mid America,,,,,,,,
401773643,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3960,Top Taggart Field,2222,Ferris State,ii,GLIAC,,,,,,90,Pittsburg St,ii,Mid America,,,,,,,,
401773667,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3859,Offutt Field,611,Seton Hill,ii,Pennsylvania State Athletic,,,,,,2986,Fairmont State,ii,Mountain East,,,,,,,,
401773691,2025,1,regular,2025-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3718,Tom Benson Hall of Fame Stadium,2682,Walsh,ii,Great Midwest Athletic,,,,,,2699,West Liberty,ii,Mountain East,,,,,,,,
