id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401762862,2025,13,regular,2025-11-18T05:00:00.000Z,True,False,False,True,,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,,,,,,2006,Akron,fbs,Mid-American,,,,,,,,
401762863,2025,13,regular,2025-11-18T05:00:00.000Z,True,False,False,True,,3876,Peden Stadium,195,Ohio,fbs,Mid-American,,,,,,113,Massachusetts,fbs,Mid-American,,,,,,,,
401762864,2025,13,regular,2025-11-18T05:00:00.000Z,True,False,False,True,,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,,,,,,2711,Western Michigan,fbs,Mid-American,,,,,,,,
401762865,2025,13,regular,2025-11-20T00:00:00.000Z,False,False,False,True,,3965,UB Stadium,2084,Buffalo,fbs,Mid-American,,,,,,193,Miami (OH),fbs,Mid-American,,,,,,,,
401762866,2025,13,regular,2025-11-20T00:00:00.000Z,False,False,False,True,,3696,Dix Stadium,2309,Kent State,fbs,Mid-American,,,,,,2117,Central Michigan,fbs,Mid-American,,,,,,,,
401767520,2025,13,regular,2025-11-21T00:00:00.000Z,False,False,False,True,,3944,Strawberry Stadium,2545,SE Louisiana,fcs,Southland,,,,,,2447,Nicholls,fcs,Southland,,,,,,,,
401761655,2025,13,regular,2025-11-21T00:30:00.000Z,False,False,False,True,,3625,Centennial Bank Stadium,2032,Arkansas State,fbs,Sun Belt,,,,,,309,Louisiana,fbs,Sun Belt,,,,,,,,
401767522,2025,13,regular,2025-11-21T00:30:00.000Z,False,False,False,True,,3963,Harry Turpin Stadium,2466,Northwestern State,fcs,Southland,,,,,,2617,Stephen F. Austin,fcs,Southland,,,,,,,,
401754598,2025,13,regular,2025-11-22T01:00:00.000Z,False,False,False,True,,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,,,,,,52,Florida State,fbs,ACC,,,,,,,,
401760418,2025,13,regular,2025-11-22T03:30:00.000Z,False,False,False,True,,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,,,,,,62,Hawai'i,fbs,Mountain West,,,,,,,,
401756959,2025,13,regular,2025-11-22T05:00:00.000Z,True,False,False,True,,3652,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,,,,,,197,Oklahoma State,fbs,Big 12,,,,,,,,
