id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401757289,2025,10,regular,2025-10-29T00:00:00.000Z,False,False,False,True,,4899.0,Fifth Third Stadium,338,Kennesaw State,fbs,Conference USA,,,,,,2638,UTEP,fbs,Conference USA,,,,,,,,
401761639,2025,10,regular,2025-10-29T00:00:00.000Z,False,False,False,True,,3644.0,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,,,,,,256,James Madison,fbs,Sun Belt,,,,,,,,
401757292,2025,10,regular,2025-10-29T23:30:00.000Z,False,False,False,True,,3725.0,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee,fbs,Conference USA,,,,,,55,Jacksonville State,fbs,Conference USA,,,,,,,,
401757291,2025,10,regular,2025-10-30T00:00:00.000Z,False,False,False,True,,3878.0,Plaster Sports Complex,2623,Missouri State,fbs,Conference USA,,,,,,2229,Florida International,fbs,Conference USA,,,,,,,,
401767346,2025,10,regular,2025-10-30T23:00:00.000Z,False,False,False,True,,3613.0,Alumni Stadium,2169,Delaware State,fcs,MEAC,,,,,,2450,Norfolk State,fcs,MEAC,,,,,,,,
401762443,2025,10,regular,2025-10-30T23:30:00.000Z,False,False,False,True,,3604.0,Alamodome,2636,UTSA,fbs,American Athletic,,,,,,2655,Tulane,fbs,American Athletic,,,,,,,,
401761640,2025,10,regular,2025-10-30T23:30:00.000Z,False,False,False,True,,3654.0,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,,,,,,276,Marshall,fbs,Sun Belt,,,,,,,,
401767555,2025,10,regular,2025-10-31T23:00:00.000Z,False,False,False,True,,3730.0,Franklin Field,219,Pennsylvania,fcs,Ivy,,,,,,225,Brown,fcs,Ivy,,,,,,,,
401762497,2025,10,regular,2025-10-31T23:00:00.000Z,False,False,False,True,,3895.0,Rice Stadium,242,Rice,fbs,American Athletic,,,,,,235,Memphis,fbs,American Athletic,,,,,,,,
401754575,2025,10,regular,2025-10-31T23:30:00.000Z,False,False,False,True,,1964.0,JMA Wireless Dome,183,Syracuse,fbs,ACC,,,,,,153,North Carolina,fbs,ACC,,,,,,,,
401757290,2025,10,regular,2025-11-01T00:00:00.000Z,False,False,False,True,,3776.0,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,,,,,,2534,Sam Houston,fbs,Conference USA,,,,,,,,
